_id,username,orderId,cartItems,totalPrice,paymentDetails,billingAddress.fullName,billingAddress.addressLine1,billingAddress.addressLine2,billingAddress.country,purchaseDate
,nwduxgmn,gaD2Kck76272BY,"[{'_id': 'gnhe5p3gkybg4fdxhg41p7jr', 'asin': 'WJW5JWLR2B', 'title': 'ZGETCjBhKuxLMqNtmhbQpyqDNSGRmWvroUNYUunPfvK', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.4, 'price': 73.95, 'listPrice': 121.21, 'category_id': 87, 'Category': 'Random Category', 'quantity': 1, 'numberOfReviews': 13, 'reviews': []}]",468.13,785388461116689,VeFMpvUbJho,LppVlhIvHsHukrZMRQcoFwvxdQVJ,qngaA,Random Country,2023-07-08T00:00:00.000000+00:00
,sjapobds,VuSd24ePZLxBmc,"[{'_id': 'ifwsn0gn1ibtub0s3dy5k0q3', 'asin': '7FHG53N4L3', 'title': 'iFOkvEMk GTaJVmIZEYMlYMknDIXTWZmKpwRsNMrJkLMC', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 0.9, 'price': 25.45, 'listPrice': 196.94, 'category_id': 39, 'Category': 'Random Category', 'quantity': 5, 'numberOfReviews': 8, 'reviews': []}, {'_id': 'n7mu39ofqrke8yu9fno52an3', 'asin': 'F21IKN1WFA', 'title': 'HDDz vHEbBaITyb', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 2.4, 'price': 68.17, 'listPrice': 146.53, 'category_id': 52, 'Category': 'Random Category', 'quantity': 4, 'numberOfReviews': 90, 'reviews': []}]",205.03,604334322074810, cmBfpxNfGdazB,QikMVtxedLTFoTRSgkPK,wiiX dnOQq,Random Country,2022-05-04T00:00:00.000000+00:00
,drxloyhv,LXlzA4fBw2rvBa,"[{'_id': 'kvju5d0hwt89lrra6o983a2d', 'asin': 'RWHTECGO5E', 'title': 'GSehrbrAxVoIYfSBmAHMxKiEiBXcRIE', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 4.3, 'price': 97.68, 'listPrice': 149.22, 'category_id': 43, 'Category': 'Random Category', 'quantity': 4, 'numberOfReviews': 40, 'reviews': []}, {'_id': 'tn6da54ve5p5xdlav04pzh7i', 'asin': '4ROYNIK99X', 'title': 'fBncEoHXFVyKeCqz JoXAkGaDWfxjxAY', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 0.3, 'price': 23.14, 'listPrice': 138.76, 'category_id': 7, 'Category': 'Random Category', 'quantity': 3, 'numberOfReviews': 84, 'reviews': []}, {'_id': 'tljjd9pxcft1xjzq22lpw8ks', 'asin': 'WF33WF4WU8', 'title': 'UDOdTJN QZqLRDlZVfJiYUuYnKQpLKFue tuTFojSFTQcKFE', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 0.5, 'price': 89.84, 'listPrice': 160.99, 'category_id': 58, 'Category': 'Random Category', 'quantity': 7, 'numberOfReviews': 65, 'reviews': []}]",98.21,352211780152912,YVYWXV,ebwwaeXxfnMGPZnRRVX,MLBOfhUns,Random Country,2022-02-06T00:00:00.000000+00:00
,cbwpsdzu,6R8bc0tIMxAVfE,"[{'_id': 'j2tjwuegubrobjxsxfqn97tm', 'asin': 'I49Z19YFOC', 'title': 'YzMFIJbwMM vETERRPjqTYtJZBrwNtZYEFyjQESVgmrk', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 2.7, 'price': 78.29, 'listPrice': 156.3, 'category_id': 77, 'Category': 'Random Category', 'quantity': 4, 'numberOfReviews': 26, 'reviews': []}, {'_id': 'qydsk03iixardhc7dl3hy2mm', 'asin': 'QI8PK4LPDL', 'title': 'huEOoUOgmkEOSBRGgtuYrsRgeqRmMtXPXePqdOvbM aERLEmH', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 1.0, 'price': 99.49, 'listPrice': 88.85, 'category_id': 78, 'Category': 'Random Category', 'quantity': 2, 'numberOfReviews': 6, 'reviews': []}]",90.24,590466769431488,uojeMLjpTyBAv,SjltuZUMXDIPACQaYxXreqOpHaBKqW,XcKxi,Random Country,2021-08-28T00:00:00.000000+00:00
,zbwfbjcm,uWRmQGeWEQdhdh,"[{'_id': 'dtz3ayw94uyihrck4j45j8pi', 'asin': '1N9AAKQERT', 'title': 'uL hnDjqxtPAouEqdiWqoQHRRg', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 1.8, 'price': 84.33, 'listPrice': 74.13, 'category_id': 71, 'Category': 'Random Category', 'quantity': 2, 'numberOfReviews': 76, 'reviews': []}]",463.97,219397539981824,VxRTJqhSXI,XRHABjvTnTIzkkBgL ilsMBaBZWT,lVCVLw hqedp,Random Country,2021-06-06T00:00:00.000000+00:00
,duhopgof,qNpSHkG0kG5cCJ,"[{'_id': 'zzdkiaao8bfa5hr4pckildvo', 'asin': 'RVFI55SVRI', 'title': 'TogXVVUpbpIXwTFNJxhxLxUzlzOV', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 1.0, 'price': 67.82, 'listPrice': 96.98, 'category_id': 53, 'Category': 'Random Category', 'quantity': 7, 'numberOfReviews': 44, 'reviews': []}, {'_id': 'a3tjgqlcx3hlhnepf8tla4dl', 'asin': 'Z9OM2HRZV3', 'title': 'XxkPZhEdvNoH', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 0.5, 'price': 59.93, 'listPrice': 198.45, 'category_id': 54, 'Category': 'Random Category', 'quantity': 2, 'numberOfReviews': 20, 'reviews': []}, {'_id': '5k2qc72z0poixjbd02zvibef', 'asin': 'LNYZCMVXSZ', 'title': 'xBUuEcdvVrLIRzTTTwC XZbRMDWvh', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 1.7, 'price': 73.51, 'listPrice': 11.16, 'category_id': 73, 'Category': 'Random Category', 'quantity': 2, 'numberOfReviews': 96, 'reviews': []}, {'_id': '52tjhu76q5epqxyeuwf0zeq2', 'asin': 'EA8DGC8UT3', 'title': 'lDpEfeFenzzKUe olSLCJYpAFatVlPO', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 1.4, 'price': 68.44, 'listPrice': 96.19, 'category_id': 58, 'Category': 'Random Category', 'quantity': 1, 'numberOfReviews': 56, 'reviews': []}, {'_id': 'byal0mfl6pgoczzyu7m2604l', 'asin': '3IJWQEWONV', 'title': 'VpfkigpnwlGWSWenOVuRRWYaumPhBgA HMQsCUMlk', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.5, 'price': 11.21, 'listPrice': 7.48, 'category_id': 93, 'Category': 'Random Category', 'quantity': 2, 'numberOfReviews': 98, 'reviews': []}]",280.42,507165428696865,JnsYNBfjaZeKM,xTJoHhWoGuEvpdMMnGITX,SiXuylGXBthJPU,Random Country,2021-12-18T00:00:00.000000+00:00
,muzasbfs,V2aIE8l0WpLb9q,"[{'_id': 'jse7scakdkz1och5aho0lc8m', 'asin': '5BNRMNXHB1', 'title': 'nxRhntKnCWJSVRiTTmrJtQBs', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.3, 'price': 51.21, 'listPrice': 158.49, 'category_id': 9, 'Category': 'Random Category', 'quantity': 6, 'numberOfReviews': 52, 'reviews': []}]",399.07,649148276716995,ZiHyamsOEIuxE,KasNjWaMBkfOniXjKBxZQrPXiGCMwN,qlrXqD,Random Country,2022-08-23T00:00:00.000000+00:00
,vrjjcafx,mZOv8wphgklyLS,"[{'_id': '51qhtmglvpynkxvr0jxft6n4', 'asin': 'LJQMAFDLDV', 'title': 'zyViJojqYzKdfoiNbjLTBIErDkXhYxWkYIrPsPoauSZBuNLwB', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.7, 'price': 94.36, 'listPrice': 119.05, 'category_id': 20, 'Category': 'Random Category', 'quantity': 3, 'numberOfReviews': 49, 'reviews': []}, {'_id': '7po8gnicbwqwpsy3eamxjvxn', 'asin': '69F8BQWOEU', 'title': 'PtuyAoldVAnsrBfGmzoGTCMNcgPb', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 2.6, 'price': 96.27, 'listPrice': 179.11, 'category_id': 50, 'Category': 'Random Category', 'quantity': 9, 'numberOfReviews': 35, 'reviews': []}, {'_id': 'k3b2667a6l0a6c8v8xmf4kff', 'asin': 'YUM8CCKAQL', 'title': 'wPLNYjEBvBVVSikHZNOXijqgjnsHnFrpQtSd', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 4.0, 'price': 28.58, 'listPrice': 71.07, 'category_id': 78, 'Category': 'Random Category', 'quantity': 3, 'numberOfReviews': 39, 'reviews': []}, {'_id': 'pxh64718586nyu4ul8203pma', 'asin': 'TC2BVNU1VO', 'title': 'G YTRDfeGYOsATHebSryCm d lL', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 1.9, 'price': 33.78, 'listPrice': 27.39, 'category_id': 81, 'Category': 'Random Category', 'quantity': 5, 'numberOfReviews': 5, 'reviews': []}, {'_id': '7573uu3q8rlzkki4qz5h0d77', 'asin': 'EN1IDIQUO2', 'title': 'rmYKNKGuJKuytkK', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 2.9, 'price': 42.39, 'listPrice': 168.73, 'category_id': 66, 'Category': 'Random Category', 'quantity': 5, 'numberOfReviews': 39, 'reviews': []}]",254.97,401419029479584,lSjLfvAPAo,OoyJjOmAZcIHpNkwIYvrju,Eugaj,Random Country,2023-08-28T00:00:00.000000+00:00
,wzgwpaot,tADOPBlu2JQzvL,"[{'_id': '7hprq0hjlhkw367pnhx05jrh', 'asin': 'GOYKB9WLNM', 'title': 'WDHkZAvQuuJgvyciBnymoV', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 0.1, 'price': 94.79, 'listPrice': 99.02, 'category_id': 34, 'Category': 'Random Category', 'quantity': 3, 'numberOfReviews': 1, 'reviews': []}, {'_id': 'ugxdcfc4ahieyc8v3q6b0ceb', 'asin': '7LZZ9G7WY5', 'title': 'rTkHxoscoiWcXTJEvhwnrTeY', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.7, 'price': 12.85, 'listPrice': 99.46, 'category_id': 37, 'Category': 'Random Category', 'quantity': 7, 'numberOfReviews': 41, 'reviews': []}, {'_id': '5y30td6987pu7v728zlbd0yl', 'asin': 'VKJCQ3BF0L', 'title': 'HtfawMfdGqtirYXTqhnFjfWhMw', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 4.0, 'price': 48.07, 'listPrice': 51.31, 'category_id': 69, 'Category': 'Random Category', 'quantity': 9, 'numberOfReviews': 4, 'reviews': []}, {'_id': 'iocrnvaxxj08cbzvsl01txo9', 'asin': '59BDSYPI65', 'title': 'MtVAYRkhyZEeQAkwNJMxupPcQfjHVRuJEuCBRWghuCEYv', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 0.8, 'price': 81.27, 'listPrice': 127.44, 'category_id': 19, 'Category': 'Random Category', 'quantity': 9, 'numberOfReviews': 14, 'reviews': []}]",206.93,878080680061874,CEqqlBbaQ,fQmyRXZPIYmsrMyGCtm,u FKgxKTi,Random Country,2022-02-13T00:00:00.000000+00:00
,lcfjljum,pnhbLY7TU3MxyD,"[{'_id': 'z7feeqi8yp883pdnwutnijdd', 'asin': 'VPA9BVUI2J', 'title': 'YJBZQQqukuVRSrF', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.7, 'price': 52.71, 'listPrice': 101.67, 'category_id': 19, 'Category': 'Random Category', 'quantity': 6, 'numberOfReviews': 64, 'reviews': []}]",340.32,424193727065834,Swg DkEouXYGTB,YulVhpxPFOuqnLiKGVewzBeqLOegRa,SJwjEBSXIZN,Random Country,2021-09-07T00:00:00.000000+00:00
